,category_id,coin_id,year,sd_coin,sd_group_mean,vltlty_ratio,vltlty_rank
34,layer-1,crypto-com-chain,2023,0.00917563261738524,347.7293802830484,2.6387280275012603e-05,11.0
75,stablecoins,pax-gold,2019,28.170358737699054,2.8229675746210665,9.978987711709875,1.0
85,stablecoins,stasis-eurs,2019,0.016557728696492444,2.8229675746210665,0.0058653626932696976,2.0
65,stablecoins,dai,2019,0.016253075305917866,2.8229675746210665,0.005757443143178701,3.0
70,stablecoins,gemini-dollar,2019,0.006871099488414691,2.8229675746210665,0.0024339987289216437,4.0
95,stablecoins,true-usd,2019,0.004896414443771935,2.8229675746210665,0.0017344919182889277,5.0
100,stablecoins,usd-coin,2019,0.004655907209696112,2.8229675746210665,0.0016492953201281758,6.0
80,stablecoins,paxos-standard,2019,0.004240339454849283,2.8229675746210665,0.0015020857812787574,7.0
90,stablecoins,tether,2019,0.0025911832844586215,2.8229675746210665,0.0009178933926672686,8.0
60,stablecoins,binance-usd,2019,0.0016721020399171603,2.8229675746210665,0.0005923206681329346,9.0
55,stablecoins,bilira,2019,0.0015791585880941758,2.8229675746210665,0.0005593966442587106,10.0
76,stablecoins,pax-gold,2020,145.31140746820176,14.540917969213487,9.993276062478303,1.0
86,stablecoins,stasis-eurs,2020,0.046310692232141126,14.540917969213487,0.0031848534136697322,2.0
56,stablecoins,bilira,2020,0.013471237748220144,14.540917969213487,0.0009264365411277263,3.0
71,stablecoins,gemini-dollar,2020,0.011919868869112421,14.540917969213487,0.0008197466552214628,4.0
66,stablecoins,dai,2020,0.01017964288728508,14.540917969213487,0.0007000687926881753,5.0
81,stablecoins,paxos-standard,2020,0.004247765123975905,14.540917969213487,0.0002921249630160499,6.0
61,stablecoins,binance-usd,2020,0.003828240103059859,14.540917969213487,0.0002632736193935717,7.0
96,stablecoins,true-usd,2020,0.003818132552396015,14.540917969213487,0.00026257850848755845,8.0
91,stablecoins,tether,2020,0.002197108973369079,14.540917969213487,0.000151098367931163,9.0
101,stablecoins,usd-coin,2020,0.0017995354435206945,14.540917969213487,0.00012375666015933316,10.0
77,stablecoins,pax-gold,2021,53.065090511209405,5.314945792437583,9.984126383135184,1.0
87,stablecoins,stasis-eurs,2021,0.039851026764363084,5.314945792437583,0.00749791781904257,2.0
57,stablecoins,bilira,2021,0.017786649297338825,5.314945792437583,0.003346534469391337,3.0
72,stablecoins,gemini-dollar,2021,0.008242705364279422,5.314945792437583,0.0015508540794541361,4.0
97,stablecoins,true-usd,2021,0.003419741525330948,5.314945792437583,0.000643419831336146,5.0
62,stablecoins,binance-usd,2021,0.003312046531486101,5.314945792437583,0.0006231571611132282,6.0
82,stablecoins,paxos-standard,2021,0.003280294221803267,5.314945792437583,0.0006171830061692562,7.0
102,stablecoins,usd-coin,2021,0.002947461692319166,5.314945792437583,0.0005545610072849638,8.0
67,stablecoins,dai,2021,0.0028047522001342236,5.314945792437583,0.0005277104056498543,9.0
92,stablecoins,tether,2021,0.002722735569364617,5.314945792437583,0.0005122790853744333,10.0
78,stablecoins,pax-gold,2022,96.55587351653469,9.66322917850594,9.99209184972093,1.0
88,stablecoins,stasis-eurs,2022,0.05501827608220734,9.66322917850594,0.005693570447918723,2.0
58,stablecoins,bilira,2022,0.0076554595130566075,9.66322917850594,0.000792225804815305,3.0
73,stablecoins,gemini-dollar,2022,0.0036016541506522083,9.66322917850594,0.00037271745129086037,4.0
83,stablecoins,paxos-standard,2022,0.0022973928845317305,9.66322917850594,0.0002377458758446767,5.0
63,stablecoins,binance-usd,2022,0.0018779744054234623,9.66322917850594,0.00019434232291630501,6.0
103,stablecoins,usd-coin,2022,0.0017914418155770926,9.66322917850594,0.00018538749133279614,7.0
98,stablecoins,true-usd,2022,0.0015355951913454521,9.66322917850594,0.00015891118413719285,8.0
68,stablecoins,dai,2022,0.001404636399802221,9.66322917850594,0.00014535890372201603,9.0
93,stablecoins,tether,2022,0.0012358380821231114,9.66322917850594,0.00012789079709213603,10.0
79,stablecoins,pax-gold,2023,61.90349716456128,6.194018732675066,9.994076517399627,1.0
89,stablecoins,stasis-eurs,2023,0.014692676600919006,6.194018732675066,0.00237207493794155,2.0
59,stablecoins,bilira,2023,0.006349921903820045,6.194018732675066,0.0010251699547375519,3.0
74,stablecoins,gemini-dollar,2023,0.0030829797742120517,6.194018732675066,0.0004977349774466338,4.0
104,stablecoins,usd-coin,2023,0.0025939885128019036,6.194018732675066,0.0004187892585984503,5.0
84,stablecoins,paxos-standard,2023,0.002591819043099772,6.194018732675066,0.00041843900623471635,6.0
69,stablecoins,dai,2023,0.0023583276349656637,6.194018732675066,0.0003807427353302743,7.0
99,stablecoins,true-usd,2023,0.0019061650045437961,6.194018732675066,0.00030774285432626767,8.0
94,stablecoins,tether,2023,0.0015740591792261956,6.194018732675066,0.0002541256730339904,9.0
64,stablecoins,binance-usd,2023,0.0015402245357971774,6.194018732675066,0.00024866320272363577,10.0
